commit	primary_mhs	second_mhs	selftest	status	description
2d71af371	119196.9	NA	PASS	keep	baseline (master)
07b9b945e	67279.8	 NA	PASS	discard	force G-round majority (lop3 0xe8) + H-round xor3 (lop3 0x96) to single LOP3 via asm volatile; VALUE-IDENTICAL (selftest PASS) but -43.6% (67279.8 vs 119196.9) - asm-volatile barriers kill ptxas cross-lane/cross-step ILP scheduling (RIPEMD lesson); ptxas already fuses G/H to 1 LOP3 & schedules optimally -> NTLM/MD4 confirmed at roofline, forced-lop3 lever CLOSED for 32-bit MD family
65691e387	120134.6	NA	PASS	discard	G-round maj as OR-of-ANDs (x&y)|(x&z)|(y&z) instead of bitselect(x,y,x^z) in a3-opt kernel; value-identical (selftest PASS), +0.79% (120134.6 vs 119196.9) = within noise -> ptxas already fuses bitselect(x,y,x^z) to single LOP3 0xE8, no op-count change on the G-round steps that dominate the s04 early-out hot path; confirms 32-bit MD4/NTLM at roofline (transform=3 ops/step minimal, reverse-from-target+early-out+const-preadd already SOTA); C-level LOP3-selection lever CLOSED (matches prior asm-volatile discard)
2d71af371	119196.9	NA	PASS	roofline	ncu m01000_s04 (sm_86, SoL+ComputeWorkloadAnalysis): ALU is highest-utilized pipe 93.1% (over-utilized), Executed IPC 2.33 = GA10x int32 half-rate cap (matches m5500 NetNTLMv1), SM throughput 93.0%, occupancy theoretical 50% register-limited (Block Limit Registers=3) fully achieved 49.11% -> bottleneck is ALU pipe pinned at int32 IPC ceiling NOT latency/occupancy, so lifting occupancy cannot raise throughput. Transform already minimal: 3 ops/step (LOP3+IADD3+SHF), single-LOP3 Fo/Go bitselect, reverse-from-target+early-out+const-preadd; hot reject path F(16)+G(0..10) is inherent to the scheme. 2 prior principled discards (forced-lop3 asm -43.6% catastrophic; OR-of-ANDs G within-noise). Only untried lever = extend reverse depth for an earlier early-out, but each added reversed check adds ~1 op/candidate setup that cancels the ~1 saved G step (why hashcat stopped at 3 checks) = net-neutral. CONFIRMED AT ROOFLINE, no kernel edit, stop.
387bb5b3e	122892.9	NA	PASS	keep	extend reverse-from-target depth +1 G-step in m01000_s04: add 3rd MD4_STEP_REV1 (reverse s13, w[7], S11) + pre_d = d_rev - MD4_G(pre_a,pre_b,pre_c) + early-out compare d vs pre_d after G-step 9; dominant early-out now fires 1 step sooner (16F+10G vs 16F+11G per rejected candidate). +3.10% (122892.9 vs 119196.9 baseline), confirm run 122972.6, selftest PASS. Reverse math provably exact (regular pattern: sav_d=d@s13=d@s15, pre_a=a@s12, pre_b=b@s11, pre_c=c@s10). CONTRADICTS prior roofline note: hashcat stopped at 3 compares (steps 10/11/12) but on GA10x sm_86 a 4th at step 9 is a NET WIN - unconditional pre_d (1 LOP3+1 sub/candidate) outweighed by saving 1 forward G step (LOP3+IADD3+SHF) for ~all rejects. reverse-depth lever OPEN.
5b6674637	121299.7	NA	PASS	discard	extend reverse-from-target depth another G-step in m01000_s04: add 4th REV (pre_a3 = rotr(pre_a,S10) - MD4_G(pre_b,pre_c,pre_d) - G_w3c01, reversing G12) + early-out compare a vs pre_a3 after G-step 8. Reverse math exact (selftest PASS) but 122892.9 (best 387bb5b3e) -> 121299.7 = -1.3% REGRESSION. Unlike the pre_d win (G-step 9, only +1 LOP3+1 sub setup, no rotr), pre_a3 needs an in-loop hc_rotr32 + MD4_G eval that CANNOT be prologue-hoisted (depends on per-candidate pre_a=a4=a_rev-w0), and that ~3-op setup outweighs the 1 saved forward G-step for rejects. Reverse-depth lever SATURATES at G-step 9: hashcat3 depth was the local opt, GA10x extends it by exactly 1 (to G9), and a 2nd extension regresses. reverse-depth lever now CLOSED for m1000.
387bb5b3e	122892.9	NA	PASS	roofline	SASS instruction-selection audit (cuobjdump on cached m01000_a3-opt kernel) - the one lever program.md line53-54 never checked via disassembly. Hot path (loop-top 0x5f0 -> pre_d early-out 0x3310) = 697 LOP3 : 662 SHF : 516 IADD3, only 8 MOV, ZERO real int-multiplies (the 4 IMAD are IMAD.U32 Rx,RZ,RZ,UR = uniform->reg moves, i.e. 0*0+UR). Every majority/F/H bool = 1 LOP3.LUT 0xe8; every rotate = 1 SHF.L.W or fused LEA.HI; add/sub = IADD3 or IMAD.IADD (subtracts placed on IMAD port for port-balance, not multiplies). Instruction selection provably optimal -> closes the last un-audited lever, corroborates row-5 ncu roofline (ALU 93.1%, IPC 2.33 = GA10x int32 half-rate cap, occupancy achieved but not the bound). ALL levers now CLOSED: instr-selection (this round), reverse-depth (saturated: G9 kept +3.1%, G8 regresses -1.3%), forced-lop3 asm (-43.6% catastrophic), OR-of-ANDs G-maj (noise), PRMT-offload (N/A: MD4 rotates 3/7/11/19/3/5/9/13 none byte-aligned), occupancy (not the bound), prologue (structurally minimal: 3 majorities required to reach pre_d, no hoist/lazy since all depend on per-candidate w0). No edit; SASS-audit round, current best 122892.9 unchanged, selftest PASS on unchanged HEAD. m1000 CONFIRMED AT ROOFLINE, exhausted.
a9415ade8	116920.9	NA	PASS	discard	drop the three later reverse-state early-out checks after the pre_d gate to shorten pre_a/pre_b/pre_c live ranges; value-identical because rare pre_d collisions still reach the full digest comparison, but -4.86% vs 122892.9 best, so the removed checks aid generated scheduling or do not reduce dominant-path register pressure
97aae4643	121801.1	NA	PASS	discard	move the G-step 9 early-out before its rotate by reverse-rotating pre_d, then rotate d only for surviving lanes; value-identical (selftest PASS), but 121801.1 vs 122892.9 best is -0.89% and within noise, so trading the dominant-path forward SHF for a target-side SHF does not improve throughput
373c8feaf	121679.2	NA	PASS	discard	compare the G-step 9 equation directly against scalar d_rev as d + MD4_G(pre_a,pre_b,pre_c), eliminating long-lived vector pre_d; value-identical (selftest PASS), but 121679.2 vs 122892.9 best is -0.99% and within noise, so reduced vector live range does not improve the ALU-roofline kernel
